zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
95307,37.55582,-120.95385,Ceres,CA,California,TRUE,,46209,543.4,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95309,37.87154,-120.43299,Chinese Camp,CA,California,TRUE,,0,0,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95310,38.09944,-120.36171,Columbia,CA,California,TRUE,,1783,15.4,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95311,37.70443,-120.08344,Coulterville,CA,California,TRUE,,2282,3.6,6043,Mariposa,"{""06043"": 97.87, ""06109"": 2.13}",Mariposa|Tuolumne,06043|06109,FALSE,FALSE,America/Los_Angeles
95312,37.42107,-120.65295,Cressey,CA,California,TRUE,,193,76,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95313,37.43511,-121.03769,Crows Landing,CA,California,TRUE,,1114,9.4,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95315,37.42243,-120.7733,Delhi,CA,California,TRUE,,13006,265.1,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95316,37.54613,-120.69212,Denair,CA,California,TRUE,,7594,35.8,6099,Stanislaus,"{""06099"": 76.77, ""06047"": 23.23}",Stanislaus|Merced,06099|06047,FALSE,FALSE,America/Los_Angeles
95317,37.12947,-120.5074,El Nido,CA,California,TRUE,,936,7.8,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95318,37.66618,-119.8064,El Portal,CA,California,TRUE,,572,3.9,6043,Mariposa,"{""06043"": 100}",Mariposa,6043,FALSE,FALSE,America/Los_Angeles
95319,37.6309,-120.87728,Empire,CA,California,TRUE,,1580,241.6,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95320,37.82453,-121.01545,Escalon,CA,California,TRUE,,13511,58.8,6077,San Joaquin,"{""06077"": 99.84, ""06099"": 0.16}",San Joaquin|Stanislaus,06077|06099,FALSE,FALSE,America/Los_Angeles
95321,37.97719,-119.75012,Groveland,CA,California,TRUE,,3870,3.3,6109,Tuolumne,"{""06109"": 98.06, ""06043"": 1.94}",Tuolumne|Mariposa,06109|06043,FALSE,FALSE,America/Los_Angeles
95322,37.17622,-121.01861,Gustine,CA,California,TRUE,,9013,20.5,6047,Merced,"{""06047"": 97.68, ""06099"": 2.32}",Merced|Stanislaus,06047|06099,FALSE,FALSE,America/Los_Angeles
95323,37.60881,-120.68464,Hickman,CA,California,TRUE,,1409,17.4,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95324,37.39452,-120.89605,Hilmar,CA,California,TRUE,,7862,75.6,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95325,37.48058,-120.24208,Hornitos,CA,California,TRUE,,0,0,6043,Mariposa,"{""06043"": 100}",Mariposa,6043,FALSE,FALSE,America/Los_Angeles
95326,37.58998,-120.8531,Hughson,CA,California,TRUE,,10662,155.3,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95327,37.84912,-120.4858,Jamestown,CA,California,TRUE,,8799,21.4,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95328,37.55797,-120.90932,Keyes,CA,California,TRUE,,3939,1686.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
